模型,训练时间,训练准确率,验证准确率,验证精确率,验证召回率,验证F1分数,验证AUC,CV准确率_均值,CV准确率_标准差
SVM,23.603825330734253,0.8004026459591602,0.8004600345025877,0.7769633507853403,0.8470319634703196,0.8104860731840524,0.8633000788372303,0.7927823779797155,0.010487113228746134
XGBoost,2.010249614715576,0.8330457290767903,0.79700977573318,0.7954802259887006,0.8036529680365296,0.7995457126632595,0.8847137785255851,0.7939330433568313,0.005976162180662005
LightGBM,0.1640150547027588,0.8318953120506184,0.7964347326049454,0.79,0.8116438356164384,0.8006756756756757,0.8829769784705578,0.7926393206067784,0.00809351135807172
随机森林,0.8874869346618652,0.8275812482024734,0.7918343875790684,0.7874720357941835,0.8036529680365296,0.7954802259887006,0.8798664793621063,0.7930707684032502,0.007750838089224428
逻辑回归,0.040364742279052734,0.7896174863387978,0.78953421506613,0.7789934354485777,0.8127853881278538,0.7955307262569833,0.8726573702228078,0.7874610160900755,0.006485309631349895
决策树,0.07048583030700684,0.8022720736266897,0.7883841288096607,0.7926267281105991,0.7853881278538812,0.7889908256880734,0.8675851997650758,0.7937892619046387,0.0053125096959890485
梯度提升,4.033768653869629,0.8515962036238136,0.7878090856814262,0.7870894677236693,0.79337899543379,0.7902217168845935,0.8805371249279089,0.7940770316888114,0.00707938581684008
朴素贝叶斯,0.005484104156494141,0.7772505033074489,0.78205865439908,0.7543500511770727,0.841324200913242,0.795466810577442,0.8441952782319295,0.7765324878846024,0.01648977440714633
K近邻,0.0032804012298583984,0.8050043140638481,0.7642323174238068,0.7827669902912622,0.7363013698630136,0.7588235294117647,0.8431152346333539,0.7602820805900211,0.008272760094114059
AdaBoost,1.1027295589447021,0.7661777394305436,0.7584818861414606,0.8,0.6940639269406392,0.7432762836185819,0.8482125377651497,0.7680474168472555,0.008309804698045929
